num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,review,timestamp_created,recommended,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
170,6,1351,0,293,2021-04-04 20:01:55,very enjoyable game,2021-03-25 11:44:12,True,0,0,0.0,0,True,False,False
0,6,4621,0,4390,2014-09-12 10:23:37,being a pirate is just awesome,2017-11-23 19:36:56,True,0,0,0.0,0,True,False,False
0,13,1820,0,1820,2022-04-26 17:19:48,leave her johnny leave her,2022-08-03 04:51:18,True,0,0,0.0,0,True,False,False
0,2,3919,0,2742,2021-12-22 11:10:12,this is a great game like you cant find in other games the story gameplay graphics its good,2021-09-30 05:12:56,True,0,0,0.0,0,True,True,False
0,3,6096,0,1412,2023-04-23 22:31:09,yes yes yes yess434563223101010101001011001101010101010101010101010100101010101010101010101010011010010101010010101010010101010101001010101010101010010101010101010101010101101010101011010101101010101010110101010110101011010101010101101010101101010 (error)1010101010101010101010101010101010101010101011010101010101010101101010101010101101010101010110101010110101010110101010101101010101101010101010101011010101011010101010110101010101101010101010101101010101011010101010110101010110101010110101010101010101101010101101010101101010101101010110101010101101010101011010101010101 10101010101010101 01010101,2022-08-18 02:31:01,True,0,0,0.0,0,True,False,False
0,36,9823,0,6616,2022-06-23 02:34:05,probably the best entry in the entire franchise hopefully we 'll get a remaster soon to update the graphics,2022-02-11 23:20:46,True,1,0,0.0,0,False,False,False
24,6,4227,0,1280,2023-07-17 14:48:53,good game,2019-06-29 09:59:57,True,0,0,0.0,0,True,False,False
92,16,1671,0,1620,2023-08-08 12:42:28,you will never sink my battleship,2023-07-12 13:09:44,True,0,0,0.0,0,True,False,False
0,15,1682,0,1278,2023-04-20 01:13:01,argh best pirate game ever imo,2022-12-11 01:01:47,True,0,0,0.0,0,True,False,False
46,2,3401,0,1522,2021-07-25 07:49:59,fcking awesome game no problems at all,2016-10-12 09:13:45,True,0,0,0.0,0,True,False,False
0,5,4074,0,4015,2021-05-06 09:40:08,awesome game,2021-04-29 15:13:44,True,0,0,0.0,0,True,False,False
76,7,1922,0,1466,2023-07-20 11:09:04,uuuuuuhhhhhhhhhhhhhhhhhhhuuuuuuuuuuuuuuuuuhhhhhhhhhhhhhhh,2022-04-02 07:48:39,True,0,0,0.0,0,True,True,False
0,32,6756,0,6756,2014-11-30 03:44:25,fuck you spain fuck you england i am the king of the seas and you are my bitch in other words you get a boat you sink boats you make big boat you sink big boat and then you murder people in the name of said boat,2015-11-28 02:32:44,True,0,0,0.4738461375236511,0,False,False,False
0,3,1680,0,313,2021-07-24 14:03:22,hmmmmmmm hum burger,2021-07-16 23:13:42,True,0,0,0.4918032586574554,0,True,False,False
0,1,14147,0,10766,2021-04-20 16:42:53,probably my favorite assassin 's creed one of my favorite games in general of all time easy -to-love characters in depth story great graphics for the time and even today to be honest a buggy animation every now and then but absolutely nothing gamebreaking that i have found full of side activities that don 't really get boring,2021-04-13 02:09:40,True,0,0,0.0,0,True,False,False
507,107,3368,0,3351,2016-08-07 07:02:24,"[i]at first i 'd like to mention that i only played the first game for a couple of hours therefore i don 't have any knowledge or experience with any other assassin 's creed game .[/i] the story was nothing special but not necessarily bad it 's just like any other pirate movie with a goal to find the treasure it had many interesting characters especially in the beginning on the other hand i [u]strongly[/u] disliked every single one of those abstergo office walking simulator parts who thought it was a good idea to bring that in [i][u]gameplay is fantastic it 's full of naval battles stealth chasing eavesdropping exploring collecting etc .[/u][/i] combat system is almost identical to shadow of mordor mad max and batman games there 's a reasonable amount of weapons for various situations hidden blades swords pistols blowpipes darts ropes smoke bombs and so on it just leaves you with a choice to either sneak around and assassinate your target or just jump right into the brawl against the whole crew besides fighting you 're free to complete challenges and side missions hunt explore cities ruins jungles or deserted islands while freely moving around the obstacles sailing that 's where the game shines the most being an open world game black flag let 's you freely travel through the sea and engage in naval combat since you 're the captain of your ship you 're able to fortify it some of those upgrades are cosmetic others are mostly weapons armor and space expanders your weapon arsenal while on the ship consists of mortars fire barrels swivel guns chain shots broadside and chase cannons heavy shots and a ram you can attack any ship that isn 't an ally of course you should evaluate its strength first as you won 't be easily taking down man o wars and legendary ships early in the game once the ship is weakened you may board it or sink it and take its loot other activities involving ships are harpoon fishing diving and developing your own fleet which carries and trades your goods with other countries i can 't say much about the multiplayer since i played it just for a few hours it seemed fun in certain modes but kind of confusing for a newcomer like me plus i really enjoyed the variety in skills wide customization and character models [h1]pros:[/h1]  open world  a lot of stuff to do (side missions collectables etc  excellent ground and naval combat  freerunning  decent upgrades  [i]perfect music [/i]  beautiful graphics  fun multiplayer  your own fleet simulation  storms /tornadoes/strong winds and waves  sea shanties [h1]cons:[/h1] ""meh"" story  kinda repetitive  can 't change your ship  uplay is necessary to play  poor optimization  no captain jack sparrow black flag attracted my attention due to ships mostly because i am a fan of pirates of the caribbean i had high expectations and they were fulfilled i 'd recommend getting this on sale [h1]8/10[/h1]",2016-08-12 08:16:55,True,8,3,0.5781500339508056,0,True,False,False
2727,59,4039,0,1842,2017-12-15 07:21:18,assassin 's creed iv brings life back into a series that was starting to get stale while the game is still glorified murder porn and lacks any sort of difficulty the writing and characters are leaps and bounds ahead of what was found in the third installment even the naval combat is tolerable this time around don 't expect to max the games graphics setting out this time around unless you 're equipped with a 780 /290. on a gtx670 with slightly lowered settings the game still drops down to 35fps and maxes out at around 60 at 1920x1080 this game is a system killer although driver updates could fix this with a little over 15 hours logged now i haven 't even reached the 30 mark in completion there is a lot to see and do nothing really feels like a chore either which is nice the modern day segments outside of the animus aren 't half bad either this is one of those games that you will definitely sink 4 or 5 hours into without even noticing i 've done it myself twice already multiplayer wise it is still the same game it has been since brotherhood i 'm really loving how the pc version is very active this time around i have yet to have a problem getting into a match of any gametype the only thing is nothing is changed all the same equipment /abilities are here you really only have new maps and characters to play as that 's fine with me though the game is as fun as ever ...and as frustrating with those damn contested kills every 30 seconds will this game get you on the assassin 's creed bandwagon if you didn 't enjoy the previous games or were getting bored with them around brotherhood /revelations? no not at all however if you have enjoyed the series up until this point but felt like the pacing and writing of 3 was off and you wanted the game to achieve the level of quality the ezio trilogy gave then this is definitely a worthwhile purchase highly reccomended,2013-12-10 06:48:38,True,2,0,0.5248661041259765,0,False,False,False
0,6,3194,0,2434,2021-03-19 18:41:14,good,2021-03-14 04:09:35,True,0,0,0.0,0,True,False,False
0,53,2553,0,2553,2018-12-03 16:01:17,oh we 'd be alright if the wind was in our sails we 'd be alright if the wind was in our sails we 'd be alright if the wind was in our sails and we 'll all hang on behind and we 'll ro -o-oll the old chariot along we 'll ro -o-oll the old chariot along we 'll ro -o-oll the old chariot along and we 'll all hang on behind,2020-12-09 17:59:33,True,0,0,0.0,0,True,False,False
0,2,3673,1304,2368,2023-09-02 09:03:56,best in the series by a long mile .the whole sea mechanics are fantastic and building up your vessel over time is well worth the effort .its a shame they did not do a whole game based on the sea side of the story,2020-10-12 06:43:34,True,0,0,0.0,0,True,False,False
0,4,2411,0,2411,2022-01-08 19:20:19,yuh,2022-01-08 19:20:51,True,1,0,0.5238095521926879,0,True,False,False
115,5,2944,0,651,2023-08-12 15:49:17,pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game pirate game,2023-07-31 03:58:04,True,0,0,0.0,0,True,False,False
59,2,2741,0,2741,2021-03-17 14:15:45,vry gud,2021-03-20 13:16:43,True,1,0,0.5017544031143188,0,True,False,False
0,13,3569,0,1147,2021-12-16 05:34:15,ah the old memories of playing this on the xbox 360 this game will always be in my top 5 idk if its just me but it is a bit wacky uh sometimes while boarding an enemy ship im sorta walking around on nothing a bit of fps issues that i still haven 't fixed and or solved yet but other that good stuff,2021-11-05 23:00:12,True,0,0,0.0,0,True,False,False
0,38,1084,0,177,2020-10-27 04:59:16,best asc,2019-05-27 19:39:28,True,0,0,0.0,0,True,False,False
0,1,2094,0,858,2014-05-30 02:20:01,best one since 2,2013-11-27 01:21:00,True,0,0,0.4761904776096343,1,True,False,False
46,12,4039,0,2485,2023-07-03 20:13:01,fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game fun game,2021-08-18 18:45:39,True,1,0,0.5007578134536743,0,True,False,False
211,11,3169,0,1656,2020-04-24 21:08:01,"the best addition to the series since assassin 's creed ii has got to be this one assassin 's creed iv black flag it 's got a revolutionary new open world consisting of hundreds of different looking islands with a hole bunch of various things to do while not on an island or in one of the three major cities you 're on your ship this ship called the jackdaw can be upgraded with a dozen of very diverse and funny upgrades which really add to the fun furthermore they 've added additional completetion stuff eg the ""templar armor this can be unlocked by completing a serious of ""templar hunt ""-missions which almost act as different story -lines. the epic sea -fights are yeah epic you never get tired of them especially if you happen to run into a storm while fighting in this scenario you 'll have to steer your ship through tornados and rouge -waves while the thunder rages above you and at the same time keeping an eye out for the enemy ship whose cargo were the only thing you wanted it dosn 't get anymore intense than this when adding that much new content to a game that already has a flawless gameplay you 're sure to make something great it is obvious that this game is the result of long and tough working process but it really payed off assassin 's creed iv black flag is the best game in this series ever released",2014-05-19 20:44:48,True,1,0,0.5238095521926879,0,True,False,False
34,7,1583,0,1456,2022-08-16 15:52:06,best with a controller though,2021-06-18 11:32:50,True,0,0,0.0,0,True,False,False
104,11,8166,0,8157,2023-06-04 17:45:16,best ac ever made finished the story like 5 or 6 times,2023-04-24 18:02:30,True,1,0,0.5238095521926879,0,True,False,False
40,1,615,0,544,2023-03-25 14:54:48,lots of bugs but decent,2020-01-03 01:27:54,True,0,0,0.0,0,True,False,False
372,13,64,0,64,2014-11-16 21:21:26,best assassins creed game probably the best single player pirate game (let me know if yah got a better one,2018-02-13 05:34:26,True,11,2,0.5778887867927551,4,False,True,False
0,32,3214,0,3207,2016-04-03 07:42:24,wants to do mission gets stop by a man o war ship to infinity and beyond moral of story always fast travel,2016-01-31 01:54:17,True,2,2,0.5370919704437255,1,True,False,False
49,4,4604,0,4604,2020-01-05 13:49:41,no comment,2020-01-05 13:50:05,True,0,1,0.0,0,True,False,False
0,23,979,0,869,2018-01-23 08:01:02,this game is fantastic the graphics are great (for its time and is very fun the story id give a 8 /10 the gameplay a 10 /10 the fun meter is full 10 /10 my favourite game,2018-01-22 10:00:51,True,0,0,0.0,0,True,False,False
75,19,2403,0,2403,2021-07-17 18:06:32,only a matter of time until ubisoft deletes this game as well don 't buy,2022-07-12 15:22:06,False,6,1,0.5586591958999633,0,True,False,False
185,1,6815,0,5942,2020-04-29 10:58:44,i killed a guy once he went to space his people probebly needed him 11 /10 would play again,2014-11-26 19:40:40,True,2,1,0.4903608560562133,0,True,False,False
0,1,4370,0,2721,2014-11-14 17:27:11,sweet game,2013-12-16 06:17:47,True,1,0,0.5024737119674682,0,True,False,False
117,12,1315,0,713,2023-07-25 22:05:29,funny pirate go brrr,2019-11-21 02:15:17,True,0,0,0.0,0,True,False,False
0,5,5301,0,2843,2022-11-10 05:23:03,finally got a graphics card so i could play this game man its been fun the ship game play is well done its easy to want more but what has been done so far is a lot of fun even when the game does something unpredictable like boarding a ship that starts to sink i had to shoot the npc 's floating in the water and was still able to add the boat to my fleet :p i like the open world game play there is plenty to do and explore if you want to take a break from the main story line the biggest motivation for me to go through the story is so i can unlock all the upgrades on my boat which is a welcomed motivation to engage with the games story i still get super annoyed when i jump to my death instead absolutely anything else that i was trying to make happen but that 's on me :p,2022-11-02 13:43:21,True,1,0,0.5238095521926879,0,True,False,False
130,6,5205,0,3017,2023-08-05 20:50:31,old but gold <3 amazing story line epic sea adventures and locations fantastic music and shanties aside from all the ac series this one is a masterpiece beyond compare despite being an old title,2022-04-09 15:15:15,True,2,0,0.5425463914871215,0,True,False,False
16,9,650,0,366,2022-02-01 06:04:46,madarchot i like it but it crashes,2021-10-07 16:46:33,True,0,0,0.0,0,True,False,False
131,45,5099,0,432,2020-09-20 20:17:25,i really recommend this game it worths the money i spent on it it is so fun and i can 't stop playing it 10 /10,2014-06-27 21:42:20,True,1,0,0.46875,0,True,False,False
0,8,25,0,25,2016-02-04 11:27:50,game stops working shits fked up tried every fking thing,2016-02-04 10:29:18,False,0,1,0.4967855215072631,3,True,False,False
0,16,2041,0,1926,2018-11-15 23:19:44,i had this game on xbox 360 and didn 't finish it last year i bought it after i got a gaming laptop and finished it within a week i put 33 hours and finished the main story i still have alot of side things to do but i stop playing most assassin creed games after i finish main story,2018-05-26 01:22:45,True,0,0,0.4761904776096343,0,True,False,False
0,35,5174,0,4542,2020-06-23 15:21:59,review for ac veterans probably the last good assassin 's creed game before they changed things up (i haven 't played odyssey or origins it 's an assassin 's creed game with pirate -theme. similar things from before such as synchronizing viewpoints and assassinating people with wrist blades and parkour are still there what i liked -the visuals of the carribean and excellent music make traversing more fun than before -dual swords instead of single make a nice change (although still woulda been nice to be able to choose what i didn 't like / could 've been better -pirate activities are very limited other than cruising on your ship (which is hella fun similar to ac3 ship component boarding enemy ships to take over as a resource taking over forts (take over as a location there 's really not much pirate -related things to do for example no having a squad of assassin 's at the ready to back you up -lack of control /influence (can't decide on buildings in towns and manage income the way ac 2 did -real life stuff out of the animus is boring crap as usual they really shoulda stopped it a long time ago -whether it 's a combination of the animus stuff or just the long breaks between main missions and exploring i always find the story inside the animus confusing as well in addition like past ac games i found the main story missions to be mostly forgettable -small detail that annoyed me was using the wrist blades in combat looks really slow compared to swords you not only strike with blades slow but you throw a kick which looks half -speed. which is strange as the wrist blades i would imagine it 's similar to daggers and a sword other than that still fun game exploration is probably the heart of it brotherhood still my overall fav but black flag still a 9 /10,2019-12-16 15:20:52,True,0,0,0.0,0,True,False,False
0,1,2352,0,696,2022-02-04 19:12:25,the map is huge,2021-01-20 10:33:58,True,0,0,0.0,0,True,True,False
0,5,11942,0,8303,2017-10-02 04:11:47,this game is actually incredible with the exception of a little bugginess this game is really well put together it has all the elements of a great game fans of the series plus games like x it takes the original winning formula and adds in this system where you go around in a pirate ship and blow other boats up for supplies to upgrade your boat and make it more awesome so you can blow up even bigger boats and then it adds in this kenway 's fleet minigame thing where basically after you blow up a boat (mostly) you can add it to your fleet the missions take like 10 hours in real time (they go when the game isn 't running and you get money from them and they unlock new missions and stuff it 's just awesome and then you get your own island which you can upgrade for better stores and perks around the world and then it unlocks a series of side quests that tie into the main questline where you save assassins or something but it adds them to every city so you can go back and do these side quests that are each like 4 missions in length it 's just great i don 't want to go outside until i finish it basically and that 's going to take forever because all i do is sail a boat and blow stuff up instead of doing quests,2014-08-20 18:50:40,True,4,0,0.5425463914871215,1,True,False,False
258,13,193,0,193,2017-03-18 17:15:50,this game is awesome the sea combat and chase sequence is insane also the story is good highly recommended,2016-12-27 05:58:47,True,0,0,0.0,0,True,False,False
0,14,1790,0,1374,2022-11-16 00:47:11,good game,2021-02-13 05:40:53,True,0,0,0.0,0,True,False,False
296,9,3736,0,3736,2019-04-18 00:32:47,i 'm currently playing through the series in order to get caught up and after playing through this one i have to say it 's my 2nd favorite in the series after 2 the setting is great the gameplay is familiar and the sailing is a blast naval combat is a lot of fun and even after you 've done it for several dozen hours there 's still the legendary ships to battle that bring you back in the world is very big as well providing a lot of exploration edward is a very interesting character and has a roguish charm to him similar to ezio the rest of the characters you meet throughout the story are all great in their own way from adewale and blackbeard to mary read and calico jack i bought it on sale awhile ago but at $20 i still think it 's a deal tl ;dr 10 /10,2019-05-07 04:16:31,True,0,0,0.0,0,True,False,False
164,9,3054,0,2673,2023-03-18 20:38:47,scallywag ahh game,2022-10-06 20:55:49,True,0,1,0.0,0,True,False,False
79,11,6275,0,2508,2019-07-15 18:14:25,10 /10 i hav no friends cuz i play this game but seriously this game has a lot on content in it i bought it off steam sale for 5 and im super -satisfied. the only minus is bad optimisation and bugs,2016-06-26 21:52:07,True,0,0,0.0,1,True,False,False
56,34,2144,0,295,2020-10-16 07:00:41,the best game of this franchise,2020-07-09 14:30:08,True,1,0,0.52173912525177,0,True,False,False
212,12,5968,0,4408,2016-03-24 01:33:08,o shit son yer a pirate you have a ship and you pimp dat wit gold for dem cannons and sweetass sails sailin dem seas lootin dat booties plunder dem ships also you 're tight with the goddamn blackbeard you have 2 cutlass y 'know: shank 2 niggas at once shank one niggas twice sound familiar suddently you an assassin some templar bois think they can run the world and think niggas aint doing shit then you hunt them 1 by 1 spitting cheassy 1 liners when you got the kill a sweet 9 /10 game yo ho yo ho a pirate life for me,2014-06-24 12:52:17,True,1,0,0.525547444820404,0,False,False,False
480,23,1248,0,708,2018-12-06 19:04:42,great amazing game one of the best ac in all the series my favorite,2016-02-06 18:57:22,True,0,0,0.0,0,False,False,False
0,12,4200,0,2831,2020-12-05 21:52:16,10 /10 parting glass the story in this game is really moving as good as was in ac2 and ac2 :revelations. sometimes bit clumsy but that is feature otherwise they would have removed it by now and of course ship (s). the jackdaw is huge part of the game as you spend most time on the sea,2015-06-18 10:21:57,True,0,0,0.0,0,True,False,False
0,6,2833,0,2575,2017-07-05 14:09:39,who needs a life when you got this game,2015-12-08 21:32:10,True,0,0,0.0,0,True,False,False
0,6,6721,0,5899,2016-05-25 15:41:55,gud init,2015-01-18 16:58:56,True,0,0,0.0,0,False,False,False
0,4,1312,0,463,2022-02-17 04:23:52,this game rocks own ships and a harbor ship battles sailing the ocean and harpooning whales and sharks it keeps the classic battle and climbing as the other creeds but your a pirate ...what! hunting treasure and exploring freaking awesome 100 stars,2021-02-17 00:10:49,True,0,0,0.0,0,True,False,False
205,13,1530,0,32,2018-11-29 10:19:31,we need japanese .thanks,2018-05-27 23:00:49,True,2,0,0.5049899816513062,0,True,False,False
115,19,549,0,546,2023-08-18 12:50:33,the amount of work i had to do just to get this game running without crashing every 10 minutes was staggering this issue is felt by most players these days because ubisoft doesn 't support steam 's launch platform if you do have this issue my fix was to run it in compatibility mode with windows 8 and turn all of the graphics down to low why a 4090 cant run it on anything but low i 'll never know but at least i can finish playing this game and then never bother with it or another ac game again the game play is actually great shame it 's hardly worth the effort of going through a game that the developers gave up on supporting,2023-08-07 22:31:27,False,1,0,0.5238095521926879,0,True,False,False
0,1,6703,0,572,2016-06-05 17:18:17,fantastic game glitchy at times flying ships galore potc mods pls,2014-01-02 02:33:10,True,1,0,0.5238095521926879,0,True,False,False
0,3,2824,0,2677,2014-08-11 12:30:21,arr,2013-12-30 21:39:12,True,0,0,0.4988360404968261,0,True,False,False
0,18,4326,0,2661,2022-03-11 12:58:32,i can cum in this game,2021-04-06 14:51:05,True,0,0,0.0,0,True,True,False
0,59,3030,0,3030,2020-05-15 20:38:54,took up 5 days to reach 97 synch and i 'd gladly do it again those twin legendary ships however are a different story not a game worth missing regardless of whether or not you 're a fan of assassin 's creed,2020-05-15 20:40:42,True,1,0,0.5039682388305664,0,True,False,False
1236,100,2448,0,2382,2021-02-11 21:21:49,the best parts were the boat segments and learning about some backstory on desmond miles aside from that it was an ok game,2020-10-29 04:38:15,True,2,0,0.5238095521926879,0,False,False,False
74,10,1939,0,1840,2020-12-24 08:46:07,ododoodod,2020-12-24 07:06:42,True,0,0,0.0,0,True,False,False
31,6,541,0,500,2022-06-13 13:40:31,really good game but not better then fortnite and roblox,2021-10-24 14:04:03,True,1,0,0.5238095521926879,0,True,True,False
60,23,3210,0,1826,2023-06-05 12:45:23,without a doubt one of the best assassins creed games the open world and sea has literal days worth of missions collectables and exploring sailing across the massive expanse of the caribbean is an amazing gameplay experience and is stunningly pretty and has aged well over the last 7 years,2020-10-21 17:06:32,True,0,0,0.0,0,True,False,False
527,67,7600,0,5325,2020-08-17 15:28:56,pro no more telepathic ai in aciii if a guard see you the others from the whole area will come to you you can now tag enemies with eagle vision it 's seriously useless back in aciii view point can now reveal the entire map you need to walk to reveal it in aciii such a pain more purpose to collect the collectables better mini -game. crafting system is easier to understand con movement is still not smooth in my opinion poor modern era story developers did a good job back then ข ้อดี ai ไม ่มีโทรจิต พอเห ็นเราจะไม่ alert ท ั้งแมพเหมือนภาคที่แล้ว eagle vision ม ีประโยชน์มากขึน สามารถ tag ศ ัตรูได้แล้ว จากท ี่ภาคที่แล้วไร้ประโยชน์เหลือหลาย view point สามารถมองได ้ครอบคลุมทั้งแมพ ไม ่เหมือนภาคที่แล้วต้องเดินเปิดเอง ของเก ็บตามแมพมีความน่าเก็บมากขึ้น ม ีจุดมุ่งหมายมากขึ้น mini -game (kenway's fleet ม ีความน่าเล่นกว่าภาคที่แล้ว ระบบ crafting เข ้าใจง่ายขึ้น ข ้อเสีย -การเคลื่อนไหวยังไม่ค่อยลื่นไหลเท่าไหร่ -เนื้อเรื่องยุคปัจจุบันเริ่มอ่อนลงตั้งแต่ภาคนี้ เร ียกได้ว่า dev ได ้ตัดสิ่งที่น่ารำคาญจากภาคที่แล้วออกไปแล้วปรับให้ดีขึ้น ทำได ้ดีทีเดียว,2016-10-18 03:53:02,True,2,0,0.5282784700393676,0,False,False,False
0,1,1874,0,1801,2015-05-23 15:06:19,one of the best in the series wih innovative gameplay and an interesting story,2016-01-04 09:00:47,True,0,0,0.0,0,True,False,False
116,7,3277,0,231,2020-11-27 15:23:43,good,2020-03-08 20:26:30,True,1,0,0.5238095521926879,0,True,False,False
0,79,379,0,189,2023-08-14 03:53:39,great game but still has a massive problem with people that own this game on pc with its dlc using a method on the ubisoft forums which i will link has helped save me my money and has let me access the dlc that i had paid for https ://forums.ubisoft.com/showthread.php/1459684-assassin-s-creed-iv-black-flag-season-pass-problem?p=15421131&viewfull=1#post15421131,2021-08-08 01:19:47,True,0,0,0.0,0,False,False,False
0,2,352,0,352,2020-10-24 04:01:06,childhood m3mories,2020-10-24 04:02:00,True,1,0,0.5238095521926879,0,True,False,False
0,2,3036,0,3022,2021-02-02 14:03:21,some good missions some bad missions gameplay is easy and world is great to explore the story is superb so play it for that and just to have a good time,2021-02-02 13:51:53,True,1,0,0.5238095521926879,0,True,False,False
0,4,5163,0,3509,2017-12-19 20:51:23,8 /10 this is the only assassins creed game i enjoy nothing like the rest it 's not the usual assassins drivel your a pirate that 's all anyone needs to say just take your ship sing songs and take on the spanish and english fleets,2016-11-25 08:39:55,True,0,0,0.0,0,False,False,False
65,2,4216,0,4216,2020-09-08 09:02:40,it 's 2020 and even now this game is still amazing and imo the best ac ever made,2020-09-08 13:39:44,True,0,0,0.0,0,True,False,False
