categories,review
['movement'],the only game where i avoid fast travel
"['assassin theme', 'pirate theme']",this is the best assassins creed game and probably the best pirate game ever
['no topic'],best game ever iv 'e been playing from day one (love it and i 'm 75 years young arrrrr matey
['pirate theme'],shanties before panties
"['pirate theme', 'music']",best part of the game are the sea shanties lowkey 1700 's jams be poppin
"['graphics', 'combat', 'difficulty', 'uplay', 'cloud mechanics']",pros -beautiful graphics -huge artistic work -vast world -naval battles are awesomeeeee -main quest is captivating cons -uplay -same old basic combat system -lack of difficulty -little to no changes in gameplay compared to the older acs -uplay -uplay -seriously... uplay advice disable cloud save sync i lost 15 hours of gameplay because of that idiotic setting and you can avoid that by simply disabling cloud sync
"['assassin theme', 'combat', 'stealth', 'exploration', 'storyline', 'character', 'graphics', 'optimization', 'uplay']",the best assassin 's creed game since assassin 's creed 2 this is coming from someone who hates pirates this game comes in three parts being a assassin being a ship captain and being a ubi i mean abstergo employee the assassin part is similar to the previous games but it is improved sword fighting feels alot better than previous games its more batman -like (arkham games and less counter -kill spam range weapons are powerful but not over powered they finally put stealth mechanics in the game a game about assassins (you can hide in bushes long grass and are able to move around mission design is really good and more varied than previous games side missions are amazing too they range from under -sea diving to whaling to taking over forts being a ship captain is the best part of the game i enjoyed exploring the high seas more than the storyline i kept exploring till the point where all that i could was the main storyline your ship is upgradable and the system is extensive ship combat is great it consists of shooting cannons at each other and then boarding for some sword fighting to capture the ship its really addicting being a ubisoft employee is in first person and you mainly do hacking puzzels in it doing these puzzels unlocks background information that is really interesting multiplayer haven 't touched it other stuff optimization could be better but it is a beatiful game best play with a controller imo until you have to aim with a pistol uplay rating 10 /10 -1 for uplay 9 /10
['uplay'],on 12th december its free on uplay edit i made this review 4 years ago pls stop commenting on my profile lmao edit no the game is not free anymore and will not be guys look at the date ffs i lost faith in humanity
"['pirate theme', 'storyline', 'optimization', 'series']",before i start i just want to address one thing this is the best ac game i have played so far and i 'm a diehard fan of this series now let 's start by a simple pros /cons: pros +the game doesn 't take itself too seriously +you really feel like you are a pirate so careless and free to do what ever you want +almost no map limitations after the few first missions you are basically granted the opportunity to explore the world as much as you wish which hasn 't been possible in previous titles and exploring is as interesting as it can get massive amount of islands fisherman villages caves mayan ruins plantations etc and the game also rewards you alot for exploring +character design edward is an interesting main character and to be honest there has never been a side character so cool as edward thatch or well as most of us know him as blackbeard +map. it 's just big and full of places after 50 hours on the game i 'm still finding new islands to explore +the amount of side activities ranging from the usual assassination contracts to defeating legendary ships you will not run out of things to do +free roaming well this isn 't anything new to assassin 's creed series but the addition of freely sailing the seas and countering plenty of other ships to board and rob out of their cargo this game takes freedom of play to a whole new level cons -optimizing is quite bad (which really isn 't a surprise though as the game will be somewhat laggy even on better gaming rigs don 't expect too many fps with high graphichs if your pc isn 't top notch it 's not unplayable on computers that aren 't as good absolutely not but you should be prepared for certain fps drops and lowering your graphic quality etc -the story is quite short (no spoilers and sometimes feels like it 's a bit too much 'go there and kill him so we can be rich arrr story isn 't bad i really enjoyed it but i still hope it would 've been a bit more deep in some aspects summary this has got to be one of my favorite games of all times as it never fails to excite me are you a diehard fan of the series or just looking to be the 'deadliest scourge of these seas either one this game is for you enjoy
"['pirate theme', 'music']",i love this game what can be better than listening to sea shanties while being a pirate
"['uplay', 'optimization', 'customer support']",steam get your sh *t together when you purchase a uplay game from steam it installs an old version of uplay which can no longer connect to the server please go here https ://uplay.ubi.com/ and download the latest version than activate your game this update worked and ended an extremely frustrating installation i can play now
"['storyline', 'exploration', 'graphics', 'movement', 'entertainment value']",black flag is competing to be the best assassin 's creed title since assassin 's creed ii not only the story is well written to a point that not only the gamer relates to the main character a pirate named edward kenway it also creates an emotional tide with the adventure and exploration of sailing the high seas and hunting treasure and other bounties while discovering more about the assassins the templars and the secrets of both sailing before black flag was released there was a game no one heard of called pirates of the burning sea a f2p mmo that currently had the title for best sailing experience black flag took that away and better with a immerse and easy to understand camera and control mechanics sailing in black flag is an amazing time so much so that the game gives you the option to fast travel if needed and i played for over 50 hours completing the game without fast traveling once with the additions of random ai ships with different random cargo roaming the seas special challanges secrets and different weather and time conditions the sailing it self sells the game running the main aspect of running and jumping on rooftops and trees to explore ways to complete your objectives still a big thing and very well crafted the only con to it is that often you find yourself jumping in hay stacks or trees just by running aside some which is a very hard thing to balance but even tho very frustrating at the time it goes away as soon as you get done with it storyline the main storyline is very interesting to watch read and play with various famous characters as usual of an assassin 's creed game introduced very well in the story the ending feels solid and with enough questions for more story but not enough to upset anyone multiplayer the multiplayer feels more balanced than previous ac titles with more maps and a more fluid and skill based mechanic the only bad thing is that as always and sadly gamers would always for some reason find ways to exploit game mechanics for an easy win the game introduced gamelabs a feature that allows players to customize game modes everything from what skills can be used to how much a kill would be worth and what kind the issue currently with gamelabs is that you can only play your custom made game modes with your friends and only find a random 'approved' type on the public lobby with enough luck that would be fixed and a new feature would allow gamers to publicly host gamelab creations for any player to pick and play overall this is the level of detail the so called next gen titles should be all about great environments graphics level design interaction and details to very small things this might be the best ac title so far and might also be goty
"['storyline', 'combat', 'optimization', 'movement', 'graphics', 'entertainment value', 'stealth', 'customer support']",only halfway through but some impressions so far the bad -the overall structure is full of checklists of meaningless boring collectibles and repetetive side activies that sadly wear out their welcome too quickly at least there 's half a dozen types or so to vary it up as you play -main mission design is mostly ubisoft trash and full of 'trail/follow' or forced stealth garbage sadly a lot of good mechanical stuff is locked up behind their progression so you can 't just ignore them -checkpoints are surprisingly bad game over 'desyncs' when you cross arbitrary invisible walls are way too frequent and never stop being frustrating -contextual actions and movement is still really terrible and leads to numerous accidents where the insanely overloaded keybindings are a fight a dozen times more challenging than any actual enemies -melee combat is mostly trivial counter /punsh very easy and basically god mode considering how wonky stealth can be that 's probably an upside though the good -stealth doesn 't hold up to better games like dishonored but the open world approach gives enjoyable freedom to clearing complex enemy groups and settlements non -lethally without alert -ship combat looks fantastic and is way more fun and tactical than melee combat storms and boarding larger ships is spectacular stuff -the world looks fantastic and there is a ton of it just don 't get ocd about 'hovering up minimap symbols cause that 's a good way to oversaturate yourself while also missing it all at the same time -has a decent amount of hilarious open world jank and clunky ai behavior that 's way more entertaining than anything actually scripted -pet all cats (even the weird ones the ugly -i don 't think you can buy a pet parrot for your ship ever this is a bug that makes the game entirely unplayable and ubisoft should refund everyone 's money immediately this is the worst pirate game in the world ultimately the ocean may be a bit too shallow but it is very wide and enjoyably relaxing to cruise through (if you can ignore a few usual ubisoft virus symptoms
"['pirate theme', 'storyline', 'series', 'exploration']",great game most fun i have had pretending to pirate since sid meier took a shot at it in the 90s largely addictive great voice acting for the series and dialogue that isn 't painful to listen to on its own as well this game could have a real shot as the redefining moment for a series that has otherwise been largely stagnant unfortunately alot of those stagnations still exist here repeated follow /eavesdrop missions for instance all in all though this is easily what i would consider the best of the entire ac series since the first 2 games hope this is the start of a trend in making these more engaging and different /unique with each setting and iteration that follows check it out if you 're ready to hit the open seas with your own brig exploring the beautiful environments of the west indies
"['difficulty', 'graphics', 'music', 'story', 'price', 'requirements', 'length', 'fun', 'replayability', 'worth buying']",difficulty  my 90 year old grandma could play it  easy  normal  hard  'dark souls graphics  'ms paint  bad  meh  graphics don 't matter in this game  good  beautiful  masterpiece music  bad  not special  good  beautiful story  this game has no story  like playing 'temple runners for the story  it 's there for the people who want it  well written  epic story price  free  underpriced  perfect price  could be cheaper  overpriced  complete waste of money requirements  you can run it on a microwave  average  high end  'nasa' computer length  very short (0 3 hours  short (3 15 hours  average (15 50 hours  long (50 90 hours  extremely long (90 110 hours  no ending fun  i 'd rather watch paint dry  hard to enjoy  repetitive  actually pretty amusing  ride of your life replayability  it 's a one time experience  only for achievements  if you wait a few months / years  definitely  infinitely replayable worth buying  no  wait for sale  yes
"['storyline', 'music']",the one game where i didn 't use the fast travel option only to sing leave her johnny leave her with my sailors
['series'],the best assassin 's creed game ever made 11 /10
"['gameplay', 'graphics', 'storyline', 'music']",gameplay 10 /10 graphics 9 /10 story 10 /10 soundtrack 10 /10 length long (50+ hrs system requirements low -end pc worth buying shut up and take my money verdict just realised that it 's not pirates of the caribbean
"['entertainment value', 'optimization', 'graphics', 'exploration', 'combat', 'movement', 'customer support', 'uplay', 'series', 'character', 'storyline', 'errors']",richly populated extremely immersive // recommended for ac fans pirate fans alike  significantly less boring hand -holding in the main campaign than the previous entry of the series reliably solid parkour mechanics there were a few bugs glitches but were very minor gorgeous graphics detailed immersive environments very strong voice -acting tons to explore lots of environmental diversity does extremely well to encourage a sense of adventure ship sailing upgrade mechanics add a lot of depth to the game exploration doesn 't simply consist of empty fetch -quests lookout points there is a lot of treasure to be found myriad activities to be done naval combat seems to have found a comfortable middle -ground between simplicity immersive completxity it all feels very sensible to pick up without losing the warmth of immersion (and it 's very fun hunting crafting mechanics actually felt useful worthwhile (as opposed to ac3 this entry probably boasts the most interesting likeable protagonist huge playable area with a plethora of accessible locations combat was about as solid as ever didn 't do much to innovate in comparison to other entries of the series but certainly works well this game requires uplay this game requires uplay this game requires uplay though the main plot was not horrible it felt considerably weaker than other entries in the series so many tailing /eavesdropping missions personally i 've always found these to be more frustrating than entertaining though combat itself works well the camera work was considerably less than perfect lockeproposal's big day out  community group  curator page  serious steam reviews subreddit 
['animals'],you can pet animals 10 /10
['assassin theme'],lets be honest best assassin 's creed
"['pirate theme', 'assassin theme']","sid meier 's pirates meets assassins creed the only thing this game is missing is a workshop full of mods to help enhance and keep things rolling a completist playthrough is good for about 100 -hours, but i don 't see myself playing through again without any mods to help enhance or change the experience and as a disabled gamer who plays to distract myself from pain i found the plethora of minigames to be an awesome plus one can easily find something in game to fulfill one 's gaming desires"
['no topic'],good game maybe spent too much time in it
['pirate theme'],the shanties alone are worth it
